time,bid,bid_depth,bid_depth_total,offer,offer_depth,offer_depth_total
20130527T010728,1.29345,0,0,1.29395,0,0
20130527T010748,1.2935,0,0,1.294,0,0
20130527T011051,1.29345,0,0,1.29395,0,0
20130527T011135,1.29338,0,0,1.29388,0,0
20130527T011136,1.29345,0,0,1.29395,0,0
20130527T011138,1.2934,0,0,1.2939,0,0
20130527T011147,1.29347,0,0,1.29397,0,0
20130527T011148,1.29353,0,0,1.29403,0,0
20130527T011150,1.29358,0,0,1.29408,0,0
20130527T011151,1.29353,0,0,1.29403,0,0
20130527T011155,1.29358,0,0,1.29408,0,0
20130527T011156,1.29353,0,0,1.29403,0,0
20130527T011157,1.2936,0,0,1.2941,0,0
20130527T011205,1.29353,0,0,1.29403,0,0
20130527T011229,1.29363,0,0,1.29413,0,0
20130527T011319,1.29353,0,0,1.29403,0,0
20130527T011319,1.2935,0,0,1.29415,0,0
20130527T011320,1.29353,0,0,1.29403,0,0
20130527T011349,1.29345,0,0,1.29395,0,0
20130527T011412,1.2935,0,0,1.294,0,0
20130527T011437,1.29343,0,0,1.29393,0,0
20130527T011735,1.2935,0,0,1.294,0,0
20130527T011822,1.29343,0,0,1.29393,0,0
20130527T011826,1.29347,0,0,1.29397,0,0
20130527T011826,1.29343,0,0,1.29393,0,0
20130527T011849,1.29333,0,0,1.29383,0,0
20130527T011918,1.29328,0,0,1.29378,0,0
20130527T011924,1.29333,0,0,1.29383,0,0
20130527T012055,1.29328,0,0,1.29378,0,0
20130527T012100,1.29323,0,0,1.29373,0,0
20130527T012358,1.29328,0,0,1.29378,0,0
20130527T012405,1.29333,0,0,1.29383,0,0
20130527T012425,1.29338,0,0,1.29388,0,0
20130527T012527,1.29345,0,0,1.29395,0,0
20130527T012527,1.2934,0,0,1.2939,0,0
20130527T012536,1.29345,0,0,1.29395,0,0
20130527T012551,1.2935,0,0,1.294,0,0
20130527T012552,1.29355,0,0,1.29405,0,0
20130527T012555,1.2935,0,0,1.294,0,0
20130527T012629,1.29355,0,0,1.29405,0,0
20130527T012646,1.2936,0,0,1.2941,0,0
20130527T012646,1.29365,0,0,1.29415,0,0
20130527T012647,1.2936,0,0,1.2941,0,0
20130527T012711,1.29365,0,0,1.29415,0,0
20130527T012716,1.2936,0,0,1.2941,0,0
20130527T012738,1.29367,0,0,1.29417,0,0
20130527T012738,1.29378,0,0,1.29428,0,0
20130527T012744,1.29373,0,0,1.29423,0,0
20130527T012855,1.29367,0,0,1.29417,0,0
20130527T012930,1.29358,0,0,1.29408,0,0
20130527T012933,1.29353,0,0,1.29403,0,0
20130527T012934,1.29345,0,0,1.29395,0,0
20130527T012951,1.2935,0,0,1.294,0,0
20130527T012954,1.29345,0,0,1.29395,0,0
20130527T012954,1.2934,0,0,1.2939,0,0
20130527T012954,1.29335,0,0,1.29385,0,0
20130527T013019,1.2934,0,0,1.2939,0,0
20130527T013027,1.29335,0,0,1.29385,0,0
20130527T013030,1.2933,0,0,1.2938,0,0
20130527T013043,1.29338,0,0,1.29388,0,0
20130527T013045,1.29333,0,0,1.29383,0,0
20130527T013046,1.29338,0,0,1.29388,0,0
20130527T013047,1.29333,0,0,1.29383,0,0
